"DATE","TIME PERIOD","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions in the euro area (transactions) (BSI.M.U2.N.V.M10.X.4.U2.2300.Z01.E)"
"2019-01-31","2019Jan","-35404"
"2019-02-28","2019Feb","39913"
"2019-03-31","2019Mar","132296"
"2019-04-30","2019Apr","47539"
"2019-05-31","2019May","84062"
"2019-06-30","2019Jun","102478"
"2019-07-31","2019Jul","26332"
"2019-08-31","2019Aug","84999"
"2019-09-30","2019Sep","-860"
"2019-10-31","2019Oct","60074"
"2019-11-30","2019Nov","118868"
"2019-12-31","2019Dec","8917"
"2020-01-31","2020Jan","-46738"
"2020-02-29","2020Feb","79074"
"2020-03-31","2020Mar","300245"
"2020-04-30","2020Apr","179014"
"2020-05-31","2020May","184577"
"2020-06-30","2020Jun","92341"
"2020-07-31","2020Jul","126797"
"2020-08-31","2020Aug","46342"
"2020-09-30","2020Sep","54899"
"2020-10-31","2020Oct","111219"
"2020-11-30","2020Nov","153158"
"2020-12-31","2020Dec","130210"
"2021-01-31","2021Jan","41446"
"2021-02-28","2021Feb","79437"
"2021-03-31","2021Mar","70075"
"2021-04-30","2021Apr","87209"
"2021-05-31","2021May","119395"
"2021-06-30","2021Jun","125975"
"2021-07-31","2021Jul","119704"
"2021-08-31","2021Aug","43210"
"2021-09-30","2021Sep","60407"
"2021-10-31","2021Oct","69028"
"2021-11-30","2021Nov","91553"
"2021-12-31","2021Dec","119129"
"2022-01-31","2022Jan","-38047"
"2022-02-28","2022Feb","73030"
"2022-03-31","2022Mar","87956"
"2022-04-30","2022Apr","64384"
"2022-05-31","2022May","67324"
"2022-06-30","2022Jun","52040"
"2022-07-31","2022Jul","74549"
"2022-08-31","2022Aug","20091"
"2022-09-30","2022Sep","-101099"
"2022-10-31","2022Oct","-157445"
"2022-11-30","2022Nov","-30680"
"2022-12-31","2022Dec","-61805"
"2023-01-31","2023Jan","-232146"
"2023-02-28","2023Feb","-135882"
"2023-03-31","2023Mar","-104090"
"2023-04-30","2023Apr","-52147"
"2023-05-31","2023May","-94355"
"2023-06-30","2023Jun","-60977"
"2023-07-31","2023Jul","-91322"
"2023-08-31","2023Aug","-102011"
"2023-09-30","2023Sep","-11571"
"2023-10-31","2023Oct","-168969"
"2023-11-30","2023Nov","18519"
"2023-12-31","2023Dec","71851"
"2024-01-31","2024Jan","-238319"
"2024-02-29","2024Feb","-31013"
"2024-03-31","2024Mar","57847"
"2024-04-30","2024Apr","-18365"
"2024-05-31","2024May","32466"
"2024-06-30","2024Jun","143368"
"2024-07-31","2024Jul","-81800"
"2024-08-31","2024Aug","39903"
"2024-09-30","2024Sep","27400"
"2024-10-31","2024Oct","-11327"
"2024-11-30","2024Nov","186955"
"2024-12-31","2024Dec","64125"
"2025-01-31","2025Jan","-135727"
